BIDS_ID,Proposal_Result,Proposal_Category,Ownership,Pursuit_Type,Customer_Classification,Vertical_Name,Deal_Category,H1_Service,H2_Service,H3_Service,DoD_Service_Line,BigData_Service_Line,Analytics_Service_Line,CBC_Service_Line,EDM_Service_Line,BISquad_Line,CPM_Service_Line,AVM_Service_Line,Is_Tech_ETL,Is_Tech_BI,Is_Tech_Visualization,Is_Tech_BigData,Is_Oracle_CoE,Is_MSBI_CoE,Is_Infa_CoE,Is_Microstrategy_CoE,Is_IBM_CoE,Is_In_Memory_CoE,Is_Teradata_CoE,Billing_Type,Overall_TCV,AIM_TCV,Profitability_Percent,Confidence_Percent,Duration_of_RFP_Prep_In_Days,Win_Theme_Comp_Pricing,Win_Theme_Delivery_Model,Win_Theme_Domain_Expertise,Win_Theme_Tech_Solutions,Win_Theme_Account_Relationship,Win_Theme_Others,Is_Value_Assets,Is_Legal_Review_Required,Is_GDO_Review_Required,Is_AIM_Deal_Review_Required,Is_Comp_Infy,Is_Comp_Accenture,Is_Comp_TCS,Is_Comp_Wipro,Is_Comp_Capgemini,Is_Comp_IBM,Is_Comp_Others,No_Comp,Geo,Sub_Geo,Solution_Category,Initiation_Date,Announced_Date
PRO00000000019,Win,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.6,0,0,10,10,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,US,United States of America,Development,4/10/2015,6/15/2015
RFP00000000021,Win,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0.12,0,0,10,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,US,United States of America,Development,4/15/2015,6/4/2015
PRO00000000022,Win,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.25,0,41,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,US,United States of America,Development,4/4/2015,11/2/2015
RFP00000000024,Win,0,0,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,45,60,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,US,United States of America,Maintenance,4/6/2015,11/30/2015
RFI00000000028,Win,0,1,2,1,3,2,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,UK,United Kingdom,MDM,4/14/2015,5/20/2015
RFI00000000033,Win,0,0,2,0,1,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.438,0,41,0,17,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,ME,UAE,MDM,4/13/2015,11/2/2015
RFP00000000084,Win,0,1,1,0,3,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0.4,0,44,25,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CE,Nordics,Dev & Maint,4/27/2015,7/10/2015
RFP000000000105,Win,0,1,1,1,3,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0.53,0,45,50,13,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,US,United States of America,Development,1/23/2015,4/9/2015
RFP000000000115,Win,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1.5,0,35,100,12,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,CE,Germany,Big Data,3/4/2015,4/28/2015
RFQ000000000128,Win,0,1,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.15,0,45,30,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,US,United States of America,Development,1/1/2015,2/21/2015
RFP000000000134,Win,0,1,1,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,3.55,0,0,33,45,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,CE,Rest of Europe,Dev & Maint,1/16/2015,3/26/2015
RFP000000000143,Win,0,1,1,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.24,0,44,50,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,US,United States of America,Development,3/3/2015,3/20/2015
PRO000000000148,Win,0,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.5,0,48,10,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,US,United States of America,Development,5/6/2015,6/1/2015
RFP000000000177,Win,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1.62,0,0,10,24,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,US,United States of America,Maintenance,1/13/2015,5/6/2015
RFP000000000184,Win,0,1,1,0,2,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1.2,0,42,70,23,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,US,United States of America,Big Data,5/6/2015,8/13/2015
RFP000000000203,Win,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1.1,0,46,25,15,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,US,United States of America,Development,3/11/2015,4/29/2015
PRO000000000205,Win,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.4,0,0,10,7,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,US,United States of America,Maintenance,5/4/2015,6/30/2015
RFP000000000224,Win,0,1,1,1,3,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.55,0,41,0,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,UK,United Kingdom,Maintenance,1/22/2015,8/20/2015
PRO000000000238,Win,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.15,0,0,10,13,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,US,United States of America,Development,4/3/2015,7/1/2015
RFI000000000242,Win,0,0,2,0,3,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,10,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,US,United States of America,SMAC,3/24/2015,7/14/2015
PRO000000000244,Win,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0.314,0,35,50,20,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,US,United States of America,Development,2/4/2015,2/28/2015
RFP000000000254,Win,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.1,0,52,50,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,US,United States of America,Development,1/14/2015,2/2/2015
RFP000000000262,Win,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,50,12,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,US,United States of America,Dev & Maint,2/20/2015,7/30/2015
RFP000000000313,Win,0,1,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,42,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,US,United States of America,MDM,3/12/2015,4/20/2015
RFP000000000315,Win,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.08,0,0,20,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,US,United States of America,Development,1/12/2015,4/1/2015
PRO000000000317,Win,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.09,0,25,50,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,US,United States of America,Development,3/9/2015,7/2/2015
PRO000000000348,Win,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1.1,0,0,20,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,US,United States of America,Dev & Maint,3/20/2015,4/28/2015
RFP000000000351,Win,0,1,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,US,United States of America,MDM,3/2/2015,3/19/2015
